ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
288,5,1030213,1358917012,1,100
289,6,1030213,1360155480,1,100
290,11,1030213,0,1,0
291,13,1030213,0,1,0
292,15,1030213,0,1,0
293,17,1030213,0,1,0
294,5,1030214,0,1,0
295,6,1030214,1359081622,1,0
296,11,1030214,0,1,0
297,13,1030214,0,1,0
298,15,1030214,0,1,0
299,17,1030214,0,1,0
300,5,1030215,1359009031,1,58.61
301,6,1030215,0,1,0
302,11,1030215,0,1,0
303,13,1030215,0,1,0
304,15,1030215,0,1,0
305,17,1030215,0,1,0
306,5,1030216,1358429784,1,104
307,6,1030216,1359531106,1,100
308,11,1030216,1360425845,1,100
309,13,1030216,1361685982,1,100
310,15,1030216,1362257263,1,100
311,17,1030216,1362815490,1,100
312,5,1030217,1359068055,1,85.05
313,6,1030217,0,1,0
314,11,1030217,0,1,0
315,13,1030217,0,1,0
316,15,1030217,0,1,0
317,17,1030217,0,1,0
318,5,1030218,1360607189,1,104
319,6,1030218,0,1,0
320,11,1030218,0,1,0
321,13,1030218,0,1,0
322,15,1030218,0,1,0
323,17,1030218,0,1,0
324,5,1030219,1359015943,1,104
325,6,1030219,1359547372,1,103.33
326,11,1030219,1360088324,1,107
327,13,1030219,1361177252,1,105
328,15,1030219,1362092649,1,105
329,17,1030219,1362263771,1,100
330,5,1030220,1359030785,1,100
331,6,1030220,1359751642,1,100
332,11,1030220,1360773554,1,79
333,13,1030220,0,1,0
334,15,1030220,1361790940,1,0
335,17,1030220,0,1,0
336,5,1030221,0,1,0
337,6,1030221,1359759727,1,100
338,11,1030221,1360556073,1,97
339,13,1030221,1361835408,1,100
340,15,1030221,1362439146,1,100
341,17,1030221,1363040576,1,100
342,5,1030222,1359040596,1,100
343,6,1030222,1359041085,1,100
344,11,1030222,1360054193,1,103
345,13,1030222,1361816079,1,100
346,15,1030222,1362468733,1,100
347,17,1030222,1362468911,1,14.57
348,5,1030223,1362092745,1,65.21
349,6,1030223,0,1,0
350,11,1030223,0,1,0
351,13,1030223,0,1,0
352,15,1030223,0,1,0
353,17,1030223,0,1,0
354,5,1030224,1359253295,1,100
355,6,1030224,0,1,0
356,11,1030224,0,1,0
357,13,1030224,0,1,0
358,15,1030224,0,1,0
359,17,1030224,0,1,0
360,5,1030225,1359008696,1,77
361,6,1030225,0,1,0
362,11,1030225,0,1,0
363,13,1030225,0,1,0
364,15,1030225,0,1,0
365,17,1030225,0,1,0
366,5,1030226,1358877949,1,102
367,6,1030226,1359650565,1,85.38
368,11,1030226,1360564627,1,67
369,13,1030226,1361300048,1,105
370,15,1030226,1362304736,1,83
371,17,1030226,0,1,0
372,5,1030227,1359183008,1,85
373,6,1030227,0,1,0
374,11,1030227,0,1,0
375,13,1030227,0,1,0
376,15,1030227,0,1,0
377,17,1030227,0,1,0
378,5,1030228,1359057164,1,100
379,6,1030228,0,1,0
380,11,1030228,0,1,0
381,13,1030228,0,1,0
382,15,1030228,0,1,0
383,17,1030228,0,1,0
384,5,1030229,1359191022,1,37
385,6,1030229,0,1,0
386,11,1030229,0,1,0
387,13,1030229,0,1,0
388,15,1030229,0,1,0
389,17,1030229,0,1,0
390,5,1030230,1359060152,1,28.33
391,6,1030230,1359060294,1,0
392,11,1030230,0,1,0
393,13,1030230,0,1,0
394,15,1030230,0,1,0
395,17,1030230,0,1,0
396,5,1030231,0,1,0
397,6,1030231,1358955877,1,0
398,11,1030231,0,1,0
399,13,1030231,0,1,0
400,15,1030231,0,1,0
401,17,1030231,0,1,0
402,5,1030232,1358166712,1,104
403,6,1030232,1359274876,1,100
404,11,1030232,1359892521,1,107
405,13,1030232,1361084661,1,105
406,15,1030232,1361793073,1,105
407,17,1030232,1362279840,1,100
408,5,1030233,1360553111,1,72.16
409,6,1030233,0,1,0
410,11,1030233,0,1,0
411,13,1030233,0,1,0
412,15,1030233,0,1,0
413,17,1030233,0,1,0
414,5,1030234,1358978881,1,77
415,6,1030234,1359292398,1,84
416,11,1030234,0,1,0
417,13,1030234,0,1,0
418,15,1030234,0,1,0
419,17,1030234,0,1,0
420,5,1030235,1358281428,1,104
421,6,1030235,1359471366,1,104
422,11,1030235,1360241967,1,100
423,13,1030235,1361362313,1,105
424,15,1030235,1361972385,1,99.5
425,17,1030235,1362410622,1,100
426,5,1030236,1359069817,1,59.5
427,6,1030236,1359935658,1,16
428,11,1030236,1360798871,1,6
429,13,1030236,1362009074,1,34
430,15,1030236,1362609307,1,10
431,17,1030236,1363301518,1,14.57
432,5,1030237,1358456583,1,100
433,6,1030237,1359702811,1,100
434,11,1030237,1360619927,1,100
435,13,1030237,1361651303,1,100
436,15,1030237,1361827491,1,100
437,17,1030237,1362884221,1,100
438,5,1030238,0,1,0
439,6,1030238,1359974469,1,0
440,11,1030238,0,1,0
441,13,1030238,0,1,0
442,15,1030238,0,1,0
443,17,1030238,0,1,0
444,5,1030239,1358987097,1,5
445,6,1030239,0,1,0
446,11,1030239,0,1,0
447,13,1030239,0,1,0
448,15,1030239,0,1,0
449,17,1030239,0,1,0
450,5,1030240,1359050163,1,77.63
451,6,1030240,1359743639,1,100
452,11,1030240,1359743613,1,98
453,13,1030240,1361828701,1,88.75
454,15,1030240,0,1,0
455,17,1030240,0,1,0
456,5,1030241,1358942673,1,104
457,6,1030241,1359728940,1,96
458,11,1030241,1360626127,1,74
459,13,1030241,1361538787,1,105
460,15,1030241,1362412862,1,100
461,17,1030241,1362575889,1,100
462,5,1030242,1359218822,1,76.17
463,6,1030242,0,1,0
464,11,1030242,0,1,0
465,13,1030242,0,1,0
466,15,1030242,0,1,0
467,17,1030242,0,1,0
468,5,1030243,1358782606,1,104
469,6,1030243,1359723428,1,102
470,11,1030243,1360623378,1,99
471,13,1030243,0,1,0
472,15,1030243,0,1,0
473,17,1030243,0,1,0
474,5,1030244,1358891261,1,100
475,6,1030244,0,1,0
476,11,1030244,0,1,0
477,13,1030244,0,1,0
478,15,1030244,0,1,0
479,17,1030244,0,1,0
480,5,1030245,1359063722,1,102
481,6,1030245,1359809696,1,100
482,11,1030245,1360621767,1,100
483,13,1030245,0,1,0
484,15,1030245,0,1,0
485,17,1030245,0,1,0
486,5,1030246,1359222417,1,37.54
487,6,1030246,1359928018,1,70
488,11,1030246,0,1,0
489,13,1030246,0,1,0
490,15,1030246,0,1,0
491,17,1030246,0,1,0
492,5,1030247,1359071857,1,103.76
493,6,1030247,1359904670,1,78
494,11,1030247,1360597197,1,56
495,13,1030247,0,1,0
496,15,1030247,0,1,0
497,17,1030247,0,1,0
498,5,1030248,1359233965,1,55
499,6,1030248,1359240830,1,9
500,11,1030248,0,1,0
501,13,1030248,0,1,0
502,15,1030248,0,1,0
503,17,1030248,0,1,0
504,5,1030249,1359042135,1,100
505,6,1030249,1359782991,1,100
506,11,1030249,1359734927,1,103
507,13,1030249,0,1,0
508,15,1030249,0,1,0
509,17,1030249,0,1,0
510,5,1030250,1358969351,1,102.57
511,6,1030250,1358969328,1,50
512,11,1030250,1360587258,1,85
513,13,1030250,1361745174,1,56
514,15,1030250,0,1,0
515,17,1030250,0,1,0
516,5,1030251,1358792203,1,104
517,6,1030251,1359578073,1,104
518,11,1030251,1360438409,1,100
519,13,1030251,1361662040,1,105
520,15,1030251,1362338827,1,100
521,17,1030251,1362937680,1,100
522,5,1030252,0,1,0
523,6,1030252,1359065779,1,0
524,11,1030252,0,1,0
525,13,1030252,0,1,0
526,15,1030252,0,1,0
527,17,1030252,0,1,0
528,5,1030253,1358888220,1,94.13
529,6,1030253,1359694256,1,100
530,11,1030253,1360565487,1,100
531,13,1030253,1361818804,1,92.5
532,15,1030253,0,1,0
533,17,1030253,0,1,0
534,5,1030254,1358785440,1,104
535,6,1030254,1359311697,1,100
536,11,1030254,1360213377,1,100
537,13,1030254,1361706991,1,92.5
538,15,1030254,1362318621,1,100
539,17,1030254,1362318561,1,100
540,5,1030255,1358988105,1,100
541,6,1030255,1359756743,1,91
542,11,1030255,1360596869,1,100
543,13,1030255,1362003038,1,85
544,15,1030255,1362499786,1,100
545,17,1030255,1362843532,1,96.03
546,5,1030256,1359038102,1,104
547,6,1030256,1359917712,1,53
548,11,1030256,1360616134,1,100
549,13,1030256,1361832156,1,90
550,15,1030256,1362428131,1,27
551,17,1030256,0,1,0
552,5,1030257,1359019924,1,100
553,6,1030257,0,1,0
554,11,1030257,0,1,0
555,13,1030257,0,1,0
556,15,1030257,0,1,0
557,17,1030257,0,1,0
558,5,1030258,1359174657,1,104
559,6,1030258,0,1,0
560,11,1030258,0,1,0
561,13,1030258,0,1,0
562,15,1030258,0,1,0
563,17,1030258,0,1,0
564,5,1030259,1358734336,1,104
565,6,1030259,1359503878,1,100
566,11,1030259,1360520099,1,100
567,13,1030259,1361741451,1,105
568,15,1030259,1362281806,1,100
569,17,1030259,1363052556,1,100
570,5,1030260,1359070829,1,104
571,6,1030260,1359762607,1,102.67
572,11,1030260,1360624933,1,81
573,13,1030260,1361835567,1,0
574,15,1030260,1362441098,1,42.5
575,17,1030260,1363061340,1,64.9
576,5,1030261,1358575313,1,104
577,6,1030261,1359482394,1,102
578,11,1030261,1360516110,1,100
579,13,1030261,0,1,0
580,15,1030261,0,1,0
581,17,1030261,0,1,0
582,5,1030262,1359070901,1,85
583,6,1030262,0,1,0
584,11,1030262,0,1,0
585,13,1030262,0,1,0
586,15,1030262,0,1,0
587,17,1030262,0,1,0
588,5,1030263,1359194302,1,82.5
589,6,1030263,0,1,0
590,11,1030263,0,1,0
591,13,1030263,0,1,0
592,15,1030263,0,1,0
593,17,1030263,0,1,0
594,5,1030264,1358975494,1,104
595,6,1030264,1359577385,1,103.88
596,11,1030264,1360177639,1,100
597,13,1030264,1361392499,1,105
598,15,1030264,1362089172,1,100
599,17,1030264,1362432554,1,100
600,5,1030265,1358969803,1,104
601,6,1030265,1359666830,1,102
602,11,1030265,1360622118,1,100
603,13,1030265,1361836707,1,100
604,15,1030265,1361836761,1,100
605,17,1030265,0,1,0
606,5,1030266,1358792127,1,102
607,6,1030266,1359593962,1,100.92
608,11,1030266,1360163474,1,100
609,13,1030266,0,1,0
610,15,1030266,0,1,0
611,17,1030266,0,1,0
612,5,1030267,1358998187,1,100
613,6,1030267,1359762676,1,78
614,11,1030267,1360617852,1,100
615,13,1030267,0,1,0
616,15,1030267,0,1,0
617,17,1030267,0,1,0
618,5,1030268,1358301600,1,104
619,6,1030268,1359002906,1,104
620,11,1030268,1359700020,1,106
621,13,1030268,1361090749,1,105
622,15,1030268,1361637586,1,105
623,17,1030268,1362212814,1,100
624,5,1030269,1358971858,1,102
625,6,1030269,1362661556,1,60
626,11,1030269,1360622618,1,60
627,13,1030269,1361816675,1,75
628,15,1030269,1362424613,1,82
629,17,1030269,1362424547,1,100
630,5,1030270,1358528277,1,104
631,6,1030270,1359473741,1,104
632,11,1030270,1360098176,1,106
633,13,1030270,1361552873,1,105
634,15,1030270,1361917704,1,105
635,17,1030270,1362926502,1,100
636,5,1030271,1358989326,1,80
637,6,1030271,1359720865,1,100
638,11,1030271,1360603220,1,0
639,13,1030271,1361772573,1,74.63
640,15,1030271,1362436395,1,100
641,17,1030271,1363120415,1,100
642,5,1030272,1359069439,1,47.71
643,6,1030272,0,1,0
644,11,1030272,0,1,0
645,13,1030272,0,1,0
646,15,1030272,0,1,0
647,17,1030272,0,1,0
648,5,1030273,1358862800,1,104
649,6,1030273,1359741294,1,96
650,11,1030273,0,1,0
651,13,1030273,0,1,0
652,15,1030273,0,1,0
653,17,1030273,0,1,0
654,5,1030274,1358912123,1,100
655,6,1030274,1359754895,1,0
656,11,1030274,1360583358,1,103
657,13,1030274,1362001235,1,100
658,15,1030274,1362361173,1,100
659,17,1030274,1362361027,1,0
660,5,1030275,1359064049,1,94
661,6,1030275,1359583376,1,98
662,11,1030275,1360441798,1,100
663,13,1030275,1361575164,1,92.64
664,15,1030275,1362178404,1,100
665,17,1030275,1362604814,1,100
666,5,1030276,1358914170,1,104
667,6,1030276,1359698485,1,102
668,11,1030276,1360615745,1,100
669,13,1030276,1361789030,1,102
670,15,1030276,1362434172,1,100
671,17,1030276,1362978260,1,100
672,5,1030277,1360154111,1,104
673,6,1030277,1360445726,1,102
674,11,1030277,1360446034,1,100
675,13,1030277,0,1,0
676,15,1030277,0,1,0
677,17,1030277,0,1,0
678,5,1030278,1358887392,1,104
679,6,1030278,1359668606,1,100
680,11,1030278,1360426911,1,100
681,13,1030278,1361741239,1,100
682,15,1030278,0,1,0
683,17,1030278,0,1,0
684,5,1030279,1359056625,1,104
685,6,1030279,1359833777,1,83.42
686,11,1030279,1360517504,1,103
687,13,1030279,1362249133,1,91
688,15,1030279,0,1,0
689,17,1030279,0,1,0
690,5,1030280,1358942670,1,104
691,6,1030280,1358945592,1,102.54
692,11,1030280,1360450588,1,105
693,13,1030280,1361797378,1,100
694,15,1030280,0,1,0
695,17,1030280,0,1,0
696,5,1030281,1358780058,1,104
697,6,1030281,1359318495,1,100
698,11,1030281,1360590030,1,100
699,13,1030281,1361640173,1,105
700,15,1030281,1362012828,1,100
701,17,1030281,1362464228,1,100
702,5,1030282,1359005771,1,104
703,6,1030282,1359005664,1,102.67
704,11,1030282,1360551323,1,100
705,13,1030282,1361599405,1,100
706,15,1030282,1362452879,1,100
707,17,1030282,1363066747,1,100
708,5,1030283,1359061833,1,68.11
709,6,1030283,0,1,0
710,11,1030283,0,1,0
711,13,1030283,0,1,0
712,15,1030283,0,1,0
713,17,1030283,0,1,0
714,5,1030284,1358961543,1,92.5
715,6,1030284,1359745585,1,84
716,11,1030284,1360611603,1,97
717,13,1030284,1361813401,1,69
718,15,1030284,1362422046,1,0
719,17,1030284,1363112690,1,86.75
720,5,1030285,1364231561,1,104
721,6,1030285,1364423315,1,0
722,11,1030285,0,1,0
723,13,1030285,0,1,0
724,15,1030285,0,1,0
725,17,1030285,0,1,0
726,5,1030286,1359205072,1,100
727,6,1030286,1359204509,1,94
728,11,1030286,0,1,0
729,13,1030286,0,1,0
730,15,1030286,0,1,0
731,17,1030286,0,1,0
732,5,1030287,1359066499,1,104
733,6,1030287,1359744441,1,103.54
734,11,1030287,1360618646,1,107
735,13,1030287,1361825995,1,105
736,15,1030287,1362429722,1,104
737,17,1030287,1363069703,1,100
738,5,1030288,1358804200,1,104
739,6,1030288,1359598115,1,100
740,11,1030288,1360600868,1,100
741,13,1030288,1361308359,1,105
742,15,1030288,1362406956,1,100
743,17,1030288,1362406858,1,100
744,5,1030289,1359043599,1,104
745,6,1030289,1359647197,1,102.67
746,11,1030289,1360070425,1,103
747,13,1030289,1361201667,1,95.5
748,15,1030289,1362468541,1,100
749,17,1030289,1362468621,1,100
750,5,1030290,1359244713,1,30.71
751,6,1030290,0,1,0
752,11,1030290,0,1,0
753,13,1030290,0,1,0
754,15,1030290,0,1,0
755,17,1030290,0,1,0
756,5,1030291,1359040102,1,104
757,6,1030291,1359732982,1,100
758,11,1030291,1359732938,1,41
759,13,1030291,1361698930,1,100
760,15,1030291,1362033608,1,100
761,17,1030291,1362456226,1,100
762,5,1030292,1359243923,1,90
763,6,1030292,1359243889,1,100
764,11,1030292,1360625433,1,0
765,13,1030292,0,1,0
766,15,1030292,0,1,0
767,17,1030292,0,1,0
768,5,1030293,1359059971,1,100
769,6,1030293,0,1,0
770,11,1030293,0,1,0
771,13,1030293,0,1,0
772,15,1030293,0,1,0
773,17,1030293,0,1,0
774,5,1030294,1358820525,1,104
775,6,1030294,1359697497,1,100
776,11,1030294,1360376550,1,100
777,13,1030294,1361667821,1,100
778,15,1030294,1362372924,1,100
779,17,1030294,1362944553,1,100
780,5,1030295,1358824388,1,93.04
781,6,1030295,1359603438,1,100
782,11,1030295,1360535293,1,100
783,13,1030295,1361776333,1,100
784,15,1030295,1362367116,1,84
785,17,1030295,1363057800,1,100
786,5,1030296,1358255417,1,100
787,6,1030296,1359026320,1,100
788,11,1030296,1360529554,1,100
789,13,1030296,1361830671,1,100
790,15,1030296,1362435454,1,10
791,17,1030296,1363116350,1,100
792,5,1030297,0,1,0
793,6,1030297,1359762687,1,80
794,11,1030297,1360624851,1,77
795,13,1030297,1361835800,1,98
796,15,1030297,1362439767,1,100
797,17,1030297,1363131565,1,0
798,5,1030298,1358823569,1,104
799,6,1030298,1359756524,1,102
800,11,1030298,1360438170,1,100
801,13,1030298,1361467143,1,100
802,15,1030298,1362345018,1,73
803,17,1030298,1362870539,1,100
804,5,1030299,1359061948,1,42
805,6,1030299,0,1,0
806,11,1030299,0,1,0
807,13,1030299,0,1,0
808,15,1030299,0,1,0
809,17,1030299,0,1,0
810,5,1030300,1358997115,1,104
811,6,1030300,1359462572,1,104
812,11,1030300,0,1,0
813,13,1030300,0,1,0
814,15,1030300,0,1,0
815,17,1030300,0,1,0
816,5,1030301,1359154966,1,104
817,6,1030301,1359154928,1,0
818,11,1030301,0,1,0
819,13,1030301,0,1,0
820,15,1030301,0,1,0
821,17,1030301,0,1,0
822,5,1030302,1361778311,1,104
823,6,1030302,1364347963,1,104
824,11,1030302,0,1,0
825,13,1030302,0,1,0
826,15,1030302,0,1,0
827,17,1030302,0,1,0
828,5,1030303,1359067440,1,100
829,6,1030303,1359067221,1,100
830,11,1030303,1360357495,1,103
831,13,1030303,1362390368,1,100
832,15,1030303,1362390246,1,98
833,17,1030303,1363304837,1,100
834,5,1030304,1358432226,1,104
835,6,1030304,1358965135,1,104
836,11,1030304,1360416392,1,100
837,13,1030304,1361719140,1,105
838,15,1030304,1362038270,1,100
839,17,1030304,1362846187,1,100
840,5,1030305,1358598708,1,104
841,6,1030305,1359650788,1,102
842,11,1030305,1360406357,1,100
843,13,1030305,1361457649,1,105
844,15,1030305,1362260312,1,100
845,17,1030305,1362701907,1,100
846,5,1030306,1358467799,1,100
847,6,1030306,1359745945,1,100
848,11,1030306,1360622155,1,100
849,13,1030306,1361672114,1,93.5
850,15,1030306,1362364543,1,87.5
851,17,1030306,1363125240,1,100
852,5,1030307,1358830829,1,104
853,6,1030307,1359575255,1,104
854,11,1030307,1360480340,1,107
855,13,1030307,1361691375,1,105
856,15,1030307,1362360790,1,105
857,17,1030307,1362894210,1,100
858,5,1030308,1358877209,1,90
859,6,1030308,0,1,0
860,11,1030308,0,1,0
861,13,1030308,0,1,0
862,15,1030308,0,1,0
863,17,1030308,0,1,0
864,5,1030309,1359235039,1,80.13
865,6,1030309,1360468356,1,0
866,11,1030309,1360466071,1,41
867,13,1030309,0,1,0
868,15,1030309,0,1,0
869,17,1030309,0,1,0
870,5,1030310,1359064750,1,104
871,6,1030310,0,1,0
